Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2004060254235,2004-04-21 00:00:00,2004-04-02 00:00:00,EYW,Key West International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,40.0,Approved,40.0,Approve in Full,19.0,0.0
2004092763941,2004-09-23 00:00:00,2004-07-30 00:00:00,F,Foreign airport,Aloha Airlines,Passenger Theft,Checked Baggage,Cameras - Digital,100.0,Denied,0.0,Deny,55.0,100.0
2008042143019,2008-04-14 00:00:00,2008-04-08 00:00:00,OAK,Metropolitan Oakland International,Alaska Airlines,Property Damage,Checkpoint,Medical Equipment & Insturments,127.93,Approved,127.93,Approve in Full,6.0,0.0
2004051552297,2004-03-24 00:00:00,2004-02-13 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,196.0,Settled,98.0,Settle,40.0,98.0
2005101294438,2005-10-04 00:00:00,2005-09-24 00:00:00,PDX,Portland International,Horizon Air,Passenger Property Loss,Checked Baggage,Jewelry - Fine,164.5,Settled,82.25,Settle,10.0,82.25
2006012500329,2006-01-20 00:00:00,2006-01-05 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),109.0,Denied,0.0,Deny,15.0,109.0
2009041357451,2009-03-20 00:00:00,2009-02-28 00:00:00,TUS,Tucson International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,300.0,Denied,0.0,Deny,20.0,300.0
2005070688388,2005-07-05 00:00:00,2005-06-15 00:00:00,BNA,Nashville International,Northwest Airlines,Passenger Property Loss,Checkpoint,Computer - Laptop,2011.5,Settled,1319.0,Settle,20.0,692.5
2006040404056,2006-03-28 00:00:00,2006-03-22 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,411.98,Denied,0.0,Deny,6.0,411.98
2007100933160,2007-10-09 00:00:00,2007-09-28 00:00:00,SNA,John Wayne,USAir,Property Damage,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.,30.0,Denied,0.0,Deny,11.0,30.0
0728013M,2003-07-28 00:00:00,2003-06-16 00:00:00,HNL,Honolulu International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,126.0,Settled,100.0,Settle,42.0,26.0
2008032841608,2008-03-19 00:00:00,2008-03-06 00:00:00,SAT,San Antonio International,USAir,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,425.0,Denied,0.0,Deny,13.0,425.0
2005062487116,2005-06-13 00:00:00,2005-05-07 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Medicines,136.6,Approved,136.6,Approve in Full,37.0,0.0
2005042983601,2005-04-26 00:00:00,2005-04-20 00:00:00,CLT,Charlotte/Douglas International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),189.99,Settled,100.0,Settle,6.0,89.99000000000001
2004061055389,2004-05-27 00:00:00,2004-05-12 00:00:00,OMA,Eppley Airfield,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,65.0,Approved,65.0,Approve in Full,15.0,0.0
2005013175004,2005-01-14 00:00:00,2004-12-12 00:00:00,HOU,William P. Hobby,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,13.53,Approved,13.53,Approve in Full,33.0,0.0
2006050105460,2006-04-25 00:00:00,2006-04-14 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,195.47,Denied,0.0,Deny,11.0,195.47
2008120353066,2008-12-02 00:00:00,2008-07-06 00:00:00,MIA,Miami International Airport,Air France,Passenger Property Loss,Checked Baggage,Cameras - Digital,158.72,Denied,0.0,Deny,149.0,158.72
1117550M,2003-11-17 00:00:00,2003-11-05 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Locks,43.09,Denied,0.0,Deny,12.0,43.09
2005032479679,2005-03-24 00:00:00,2004-09-28 00:00:00,CVG,Cincinnati/Northern Kentucky International,American Eagle,Property Damage,Checkpoint,Cameras - Digital,108.0,Approved,108.0,Approve in Full,177.0,0.0
0411007L,2003-04-11 00:00:00,2003-01-26 00:00:00,ELP,El Paso International Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),279.0,Settled,42.0,Settle,75.0,237.0
2005120797104,2005-11-22 00:00:00,2005-10-31 00:00:00,ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,85.0,Settled,42.5,Settle,22.0,42.5
2009061060007,2009-06-08 00:00:00,2009-03-25 00:00:00,SEA,Seattle-Tacoma International,American Airlines,Property Damage,Checkpoint,Computer - Laptop,403.37,Approved,403.37,Approve in Full,75.0,0.0
0618051L,2003-06-18 00:00:00,2003-05-17 00:00:00,SNA,John Wayne,UAL,Property Damage,Checked Baggage,Other,25.0,Settled,12.5,Settle,32.0,12.5
2008111452206,2008-11-14 00:00:00,2008-10-18 00:00:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Medical Equipment & Insturments,149.72,Approved,149.72,Approve in Full,27.0,0.0
2009012855023,2009-01-08 00:00:00,2008-10-11 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.); Cell Phones; GPS - Global Positioning System; MP3 Players-(iPods; etc),207.95,Denied,0.0,Deny,89.0,207.95
2006111515589,2006-11-08 00:00:00,2006-10-07 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checkpoint,Cell Phones,39.95,Denied,0.0,Deny,32.0,39.95
2005070588190,2005-07-01 00:00:00,2005-04-30 00:00:00,IAH,Houston - George Bush Intercontinental Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),54.11,Approved,54.11,Approve in Full,62.0,0.0
0729097M,2003-07-29 00:00:00,2003-07-14 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),87.77,Settled,44.0,Settle,15.0,43.769999999999996
2006101814128,2006-10-12 00:00:00,2006-09-15 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Property Damage,Checked Baggage,Musical Instruments (pianos; organs; player pianos; & harps),475.0,Settled,237.5,Settle,27.0,237.5
2007082830991,2007-08-27 00:00:00,2007-08-01 00:00:00,TPA,Tampa International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Denied,0.0,Deny,26.0,100.0
0520217L,2003-05-20 00:00:00,2003-03-27 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,239.9,Denied,239.9,Deny,54.0,0.0
0707001M,2003-07-07 00:00:00,2003-06-27 00:00:00,SLC,Salt Lake City International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,80.35,Approved,80.35,Approve in Full,10.0,0.0
2008071446893,2008-07-07 00:00:00,2008-06-18 00:00:00,SEA,Seattle-Tacoma International,UAL,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),323.2,Denied,0.0,Deny,19.0,323.2
2009072761788,2009-07-20 00:00:00,2009-07-13 00:00:00,DFW,Dallas-Fort Worth International Airport,Continental Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),199.0,Denied,0.0,Deny,7.0,199.0
2004092363757,2004-09-16 00:00:00,2004-05-20 00:00:00,SEA,Seattle-Tacoma International,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),160.48,Approved,160.48,Approve in Full,119.0,0.0
2005091492423,2005-09-01 00:00:00,2005-06-15 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,100.0,Approved,100.0,Approve in Full,78.0,0.0
2005111496068,2005-11-03 00:00:00,2005-10-25 00:00:00,SJC,Norman Y Mineta San Jose International,Jet Blue,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,81.0,Settled,40.5,Settle,9.0,40.5
2005021776361,2005-01-24 00:00:00,2005-01-04 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,334.4,Denied,0.0,Deny,20.0,334.4
2010010667210,2009-12-30 00:00:00,2009-12-29 00:00:00,PHL,Philadelphia International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Video Recordings (blank & commercial),26.71,Denied,0.0,Deny,1.0,26.71
2006011399587,2006-01-10 00:00:00,2006-01-02 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,404.94,Denied,0.0,Deny,8.0,404.94
2008010337272,2007-12-28 00:00:00,2007-12-26 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Medicines,164.99,Denied,0.0,Deny,2.0,164.99
2006110915388,2006-11-06 00:00:00,2006-10-28 00:00:00,LAS,McCarran International,America West,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,29.99,Approved,29.99,Approve in Full,9.0,0.0
2009112065544,2009-11-12 00:00:00,2009-10-12 17:30:00,EWR,Newark International Airport,Air France,Passenger Property Loss,Checked Baggage,Computer - Laptop,400.0,Denied,0.0,Deny,30.0,400.0
2006060907669,2006-06-07 00:00:00,2006-03-30 00:00:00,ICT,Wichita Mid-Continent,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,175.9,Denied,0.0,Deny,69.0,175.9
0527046L,2003-05-27 00:00:00,2003-05-05 00:00:00,SNA,John Wayne,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,97.0,Denied,0.0,Deny,22.0,97.0
2007101833609,2007-10-15 00:00:00,2007-08-08 00:00:00,MSY,New Orleans International,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,27.2,Denied,0.0,Deny,68.0,27.2
2006081711227,2006-08-16 00:00:00,2006-08-01 00:00:00,CLT,Charlotte/Douglas International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),79.0,Settled,40.0,Settle,15.0,39.0
2009062460602,2009-06-23 00:00:00,2009-06-13 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency; MP3 Players-(iPods; etc); Other; Stereo Items & Accessories,277.0,Denied,0.0,Deny,10.0,277.0
2005062987685,2005-06-21 00:00:00,2005-05-18 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),170.22,Denied,0.0,Deny,34.0,170.22
2009073062000,2009-07-29 00:00:00,2009-07-27 00:00:00,BTV,Burlington; VT,Delta Air Lines,Passenger Property Loss,Checked Baggage,Camping Equipment & Supplies,69.99,Denied,0.0,Deny,2.0,69.99
2008062045924,2008-06-16 00:00:00,2008-05-11 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop; MP3 Players-(iPods; etc); Other,436.0,Denied,0.0,Deny,36.0,436.0
2007032923172,2007-03-26 00:00:00,2007-03-02 00:00:00,SEA,Seattle-Tacoma International,UAL,Passenger Property Loss,Checked Baggage,Other,98.0,Settled,41.0,Settle,24.0,57.0
2007092532480,2007-09-14 00:00:00,2007-07-16 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Automobile Parts,435.87,Denied,0.0,Deny,60.0,435.87
2008090249315,2008-08-27 00:00:00,2008-06-26 00:00:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Settled,120.0,Settle,62.0,30.0
2005071889112,2005-07-18 00:00:00,2005-04-25 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Lufthansa,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,120.0,Settled,60.0,Settle,84.0,60.0
2009110365090,2009-10-28 00:00:00,2009-10-10 10:15:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),345.44,Settled,297.5,Settle,17.0,47.94
2005100694222,2005-10-03 00:00:00,2005-09-21 00:00:00,DLH,Duluth; MN,Northwest International Airways Ltd,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,80.0,Denied,0.0,Deny,12.0,80.0
1117085M,2003-11-17 00:00:00,2003-10-29 00:00:00,PHL,Philadelphia International Airport,British Airways,Property Damage,Checked Baggage,Luggage (all types including footlockers),201.0,Denied,0.0,Deny,19.0,201.0
2009061760307,2009-06-11 00:00:00,2009-05-31 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checkpoint,Watches - Inexpensive $100 or less,45.0,Denied,0.0,Deny,11.0,45.0
2005082591461,2005-08-19 00:00:00,2005-06-30 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),258.85,Settled,100.0,Settle,50.0,158.85000000000002
2004122770930,2004-11-22 00:00:00,2004-07-22 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,555.0,Denied,0.0,Deny,123.0,555.0
2008100750873,2008-10-03 00:00:00,2008-09-22 00:00:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,415.26,Denied,0.0,Deny,11.0,415.26
2007041623997,2007-04-10 00:00:00,2007-03-25 00:00:00,RSW,Southwest Florida International,Sun Country Airlines Inc,Passenger Property Loss,Checked Baggage,Other,89.28,Denied,0.0,Deny,16.0,89.28
2004112967940,2004-10-14 00:00:00,2004-10-03 00:00:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,22.99,Approved,22.99,Approve in Full,11.0,0.0
2006060907712,2006-06-08 00:00:00,2006-05-31 00:00:00,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry - Fine,200.0,Settled,100.0,Settle,8.0,100.0
2009012354774,2009-01-13 00:00:00,2009-01-12 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),510.0,Denied,0.0,Deny,1.0,510.0
0915040M,2003-09-15 00:00:00,2003-08-31 00:00:00,DEN,Denver International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,40.0,Settled,20.0,Settle,15.0,20.0
2004123071964,2004-12-08 00:00:00,2004-10-30 00:00:00,BDL,Bradley International Airport,US Express,Passenger Property Loss,Checked Baggage,Other,174.86,Settled,57.55,Settle,39.0,117.31000000000002
0130156M,2004-01-30 00:00:00,2004-01-08 00:00:00,LGB,Long Beach,Alaska Airlines,Property Damage,Checked Baggage,Other,30.5,Settled,20.33,Settle,22.0,10.170000000000002
2009031656295,2009-02-18 00:00:00,2009-01-30 00:00:00,MEM,Memphis International Airport,USAir,Passenger Property Loss,Checked Baggage,Kitchen Utensils -Pots; Pans; Knives (heavy aluminum; cast iron; etc.),30.0,Denied,0.0,Deny,19.0,30.0
2005120596922,2005-11-21 00:00:00,2005-07-10 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,12.0,Approved,12.0,Approve in Full,134.0,0.0
2008072147152,2008-07-14 00:00:00,2008-06-14 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),43.0,Denied,0.0,Deny,30.0,43.0
2008100350758,2008-10-01 00:00:00,2008-09-16 00:00:00,LAS,McCarran International,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Denied,0.0,Deny,15.0,250.0
2004092063203,2004-08-30 00:00:00,2004-08-23 00:00:00,ORD,Chicago O'Hare International Airport,Northwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,267.52,Denied,0.0,Deny,7.0,267.52
2007090731531,2007-09-05 00:00:00,2007-09-03 00:00:00,SRQ,Sarasota Bradenton International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,362.99,Denied,0.0,Deny,2.0,362.99
2008030640518,2008-02-27 00:00:00,2008-01-24 00:00:00,HPN,Westchester County; White Plains,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,488.4,Denied,0.0,Deny,34.0,488.4
2007013119953,2007-01-25 00:00:00,2007-01-07 00:00:00,SRQ,Sarasota Bradenton International,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,79.99,Approved,79.99,Approve in Full,18.0,0.0
2004101465007,2004-09-10 00:00:00,2004-09-04 00:00:00,PIT,Pittsburgh International Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,189.79,Settled,146.48,Settle,6.0,43.31
2004122069321,2004-11-04 00:00:00,2004-07-19 00:00:00,MCO,Orlando International Airport,Southeast Airlines,Passenger Property Loss,Checked Baggage,Other,189.98,Denied,0.0,Deny,108.0,189.98
2005032279134,2005-02-23 00:00:00,2005-01-18 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,150.0,Approved,150.0,Approve in Full,36.0,0.0
2007060126072,2007-05-30 00:00:00,2007-05-20 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),250.0,Approved,250.0,Approve in Full,10.0,0.0
2005041282328,2005-04-12 00:00:00,2005-03-12 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,710.0,Denied,0.0,Deny,31.0,710.0
2008020839336,2008-02-01 00:00:00,2008-01-01 00:00:00,JFK,John F. Kennedy International,China Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),95.0,Approved,95.0,Approve in Full,31.0,0.0
2005042082882,2005-04-19 00:00:00,2005-03-25 00:00:00,GPT,Gulfport-Biloxi International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Currency,700.0,Denied,0.0,Deny,25.0,700.0
2005011073357,2004-12-21 00:00:00,2004-12-06 00:00:00,SYR,Syracuse-Hancock International,UAL,Passenger Property Loss,Checked Baggage,Locks,8.11,Approved,8.11,Approve in Full,15.0,0.0
2006091212407,2006-09-06 00:00:00,2006-08-12 00:00:00,F,Foreign airport,Olympic Airways,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cell Phones,560.19,Denied,0.0,Deny,25.0,560.19
2008022640162,2008-02-19 00:00:00,2007-11-06 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cell Phones; Eyeglasses - (including contact lenses); Other,394.43,Denied,0.0,Deny,105.0,394.43
2005010572907,2004-12-17 00:00:00,2004-08-21 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,100.0,Settled,50.0,Settle,118.0,50.0
2009031256175,2009-02-24 00:00:00,2009-02-01 00:00:00,SJU,Luis Munoz Marin International,American Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),200.0,Denied,0.0,Deny,23.0,200.0
0715527M,2002-12-20 00:00:00,2002-12-07 00:00:00,LGA,LaGuardia,AirTran Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1488.0,Settled,1264.21,Settle,13.0,223.78999999999996
2008051644442,2008-05-14 00:00:00,2008-04-28 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),399.99,Denied,0.0,Deny,16.0,399.99
2004102265538,2004-09-09 00:00:00,2004-07-08 00:00:00,PWM,Portland International Jetport,American Airlines,Property Damage,Checked Baggage,Other,73.83,Approved,61.5,Approve in Full,63.0,12.329999999999998
2007091732020,2007-09-13 00:00:00,2007-08-30 00:00:00,SEA,Seattle-Tacoma International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.0,Approved,10.0,Approve in Full,14.0,0.0
2006010398656,2005-12-22 00:00:00,2005-12-11 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checkpoint,Other,314.66,Approved,314.66,Approve in Full,11.0,0.0
2004052653568,2004-04-21 00:00:00,2004-03-30 00:00:00,GSP,Greenville-Spartanburg,Delta Air Lines,Property Damage,Checked Baggage,Computer - Laptop,600.0,Approved,600.0,Approve in Full,22.0,0.0
25058,2003-01-14 00:00:00,2002-10-18 00:00:00,FNT,Bishop International; Flint,AirTran Airlines,Passenger Property Loss,Checked Baggage,Other,250.0,Denied,0.0,Deny,88.0,250.0
2007032823124,2007-03-27 00:00:00,2007-03-15 00:00:00,KOA,Kona International,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.,49.0,Approved,49.0,Approve in Full,12.0,0.0
